seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in
142, 35.25031542778015, 35.256417989730835, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
143, 35.50064539909363, 35.506871700286865, 28.0, 0.0, 0.5160157475508896, -0.002000061037018952, 36.2952, 13.534, 0.06806692709128095, -0.002000061037018952
144, 35.750314474105835, 35.75656723976135, 28.5, 0.0, 0.5180158085879086, -0.002000061037018952, 36.70165, 13.534, 0.07656718649861169, -0.002000061037018952
145, 36.00031089782715, 36.00639748573303, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
146, 36.25031900405884, 36.25646781921387, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
147, 36.50030040740967, 36.5058958530426, 27.5, 0.0, 0.5160157475508896, -0.002000061037018952, 35.88875, 13.534, 0.06806692709128095, -0.002000061037018952
148, 36.75023555755615, 36.756417751312256, 27.75, 0.0, 0.5180158085879086, 0.0, 36.091975, 13.534, 0.07656718649861169, 0.0
149, 37.00032091140747, 37.00658416748047, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
150, 37.2503182888031, 37.25649380683899, 27.5, 0.0, 0.5180158085879086, 0.0, 35.88875, 13.534, 0.07656718649861169, 0.0
151, 37.50030493736267, 37.50637984275818, 27.75, 0.0, 0.5180158085879086, -0.002000061037018952, 36.091975, 13.534, 0.07656718649861169, -0.002000061037018952
152, 37.750298261642456, 37.75615382194519, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
153, 38.000309228897095, 38.00620794296265, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
154, 38.25031280517578, 38.25648283958435, 28.25, 0.0, 0.5180158085879086, -0.002000061037018952, 36.498425, 13.534, 0.07656718649861169, -0.002000061037018952
155, 38.5003080368042, 38.5064115524292, 27.75, 0.0, 0.5180158085879086, 0.0, 36.091975, 13.534, 0.07656718649861169, 0.0
156, 38.75030875205994, 38.75643801689148, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
157, 39.00030732154846, 39.006447076797485, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
158, 39.25031566619873, 39.25644850730896, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
159, 39.5003080368042, 39.50640416145325, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
160, 39.75172662734985, 39.7579505443573, 27.5, 0.0, 0.5180158085879086, 0.0, 35.88875, 13.534, 0.07656718649861169, 0.0
161, 40.000308990478516, 40.00655269622803, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
162, 40.25032019615173, 40.256505727767944, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
163, 40.50030779838562, 40.50643229484558, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
164, 40.75032019615173, 40.75655817985535, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
165, 41.00031614303589, 41.006107807159424, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
166, 41.25032114982605, 41.25653696060181, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
167, 41.5003182888031, 41.50646257400513, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
168, 41.750306606292725, 41.75640916824341, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
169, 42.00024700164795, 42.006566286087036, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
170, 42.25021147727966, 42.25638389587402, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
171, 42.500308990478516, 42.50662565231323, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
172, 42.75031042098999, 42.75642228126526, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
173, 43.00031876564026, 43.00693106651306, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
174, 43.2503125667572, 43.25642442703247, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
175, 43.50031065940857, 43.50638246536255, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
176, 43.750308990478516, 43.757078647613525, 28.5, 0.0, 0.5200158696249275, 0.0, 36.70165, 13.534, 0.08506744590594195, 0.0
177, 44.00030469894409, 44.006420850753784, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
178, 44.25032019615173, 44.256582498550415, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
179, 44.50031304359436, 44.5064013004303, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
180, 44.75031089782715, 44.75635743141174, 27.5, 0.0, 0.5200158696249275, -0.002000061037018952, 35.88875, 13.534, 0.08506744590594195, -0.002000061037018952
181, 45.00031042098999, 45.0063796043396, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
182, 45.250316858291626, 45.25626039505005, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
183, 45.50030708312988, 45.50636267662048, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
184, 45.75031352043152, 45.756391763687134, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
185, 46.001978635787964, 46.0107102394104, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
186, 46.25028944015503, 46.25639748573303, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
187, 46.50031805038452, 46.50647759437561, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
188, 46.75031042098999, 46.75638198852539, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
189, 47.00032567977905, 47.006333351135254, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
190, 47.25032138824463, 47.25645685195923, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
191, 47.50032067298889, 47.50645399093628, 28.5, 0.0, 0.5180158085879086, 0.0, 36.70165, 13.534, 0.07656718649861169, 0.0
192, 47.75031352043152, 47.75641703605652, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
193, 48.00030827522278, 48.00670051574707, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
194, 48.25032138824463, 48.25640296936035, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
195, 48.500306606292725, 48.50638389587402, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
196, 48.75031065940857, 48.75635051727295, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
197, 49.00030875205994, 49.00638222694397, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
198, 49.25030541419983, 49.25640058517456, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
199, 49.500306606292725, 49.50636696815491, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
200, 49.750308990478516, 49.75633263587952, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
201, 50.00031018257141, 50.00637102127075, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
202, 50.250308990478516, 50.25614285469055, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
203, 50.50031113624573, 50.50639748573303, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
204, 50.75030970573425, 50.756340980529785, 27.75, 0.0, 0.5180158085879086, 0.0, 36.091975, 13.534, 0.07656718649861169, 0.0
205, 51.00030851364136, 51.00636267662048, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
206, 51.25031781196594, 51.25646638870239, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
207, 51.500311613082886, 51.50636410713196, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
208, 51.75030851364136, 51.75634288787842, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
209, 52.000314235687256, 52.006373167037964, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
210, 52.25014662742615, 52.25960087776184, 28.25, 0.0, 0.5160157475508896, 0.0, 36.498425, 13.534, 0.06806692709128095, 0.0
211, 52.500306129455566, 52.506645917892456, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
212, 52.75031232833862, 52.7564537525177, 28.25, 0.0, 0.5180158085879086, -0.002000061037018952, 36.498425, 13.534, 0.07656718649861169, -0.002000061037018952
213, 53.00030779838562, 53.00672388076782, 28.25, 0.0, 0.5180158085879086, 0.0, 36.498425, 13.534, 0.07656718649861169, 0.0
214, 53.25031661987305, 53.25665354728699, 28.25, 0.0, 0.5180158085879086, -0.002000061037018952, 36.498425, 13.534, 0.07656718649861169, -0.002000061037018952
215, 53.50031089782715, 53.50643849372864, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
216, 53.750304222106934, 53.756335973739624, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
217, 54.00031042098999, 54.00635004043579, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
218, 54.25030708312988, 54.25653290748596, 27.5, 0.0, 0.5180158085879086, -0.002000061037018952, 35.88875, 13.534, 0.07656718649861169, -0.002000061037018952
219, 54.500311851501465, 54.50645899772644, 28.0, 0.0, 0.5220159306619465, 0.0, 36.2952, 13.534, 0.09356770531327269, 0.0
220, 54.75031042098999, 54.75639247894287, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
221, 55.000319480895996, 55.00675058364868, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
222, 55.25031876564026, 55.256733417510986, 27.75, 0.0, 0.5180158085879086, 0.0, 36.091975, 13.534, 0.07656718649861169, 0.0
223, 55.50031042098999, 55.506463050842285, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
224, 55.75031900405884, 55.756585359573364, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
225, 56.00032448768616, 56.00637674331665, 28.25, 0.0, 0.5180158085879086, -0.002000061037018952, 36.498425, 13.534, 0.07656718649861169, -0.002000061037018952
226, 56.250314235687256, 56.256789207458496, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
227, 56.50030708312988, 56.506433963775635, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
228, 56.75030875205994, 56.7563750743866, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
229, 57.00031900405884, 57.00641322135925, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
230, 57.250317096710205, 57.25926852226257, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
231, 57.50030875205994, 57.5064651966095, 27.75, 0.0, 0.5180158085879086, -0.002000061037018952, 36.091975, 13.534, 0.07656718649861169, -0.002000061037018952
